mario@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",25,"16:00","10:00",false,false,false
leonardo@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",50,"16:00","10:00",false,true,false
alessandro@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",60,"16:00","10:00",false,false,true
tommaso@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",30,"16:00","10:00",true,false,false
francesco@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",100,"16:00","10:00",true,true,false
edoardo@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",80,"16:00","10:00",false,true,true
mattia@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",90,"16:00","10:00",true,false,true
riccardo@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",20,"16:00","10:00",false,false,false
gabriele@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",40,"16:00","10:00",false,true,false
andrea@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",50,"16:00","10:00",false,true,false
