mario@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",25,"16:00","10:00",false,false,false,1
leonardo@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",50,"16:00","10:00",false,true,false,2
alessandro@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",60,"16:00","10:00",false,false,true,1
tommaso@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",30,"16:00","10:00",true,false,false,1
francesco@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",100,"16:00","10:00",true,true,false,2
edoardo@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",80,"16:00","10:00",false,true,true,3
mattia@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",90,"16:00","10:00",true,false,true,1
riccardo@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",20,"16:00","10:00",false,false,false,2
gabriele@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",40,"16:00","10:00",false,true,false,1
andrea@email.com,Brescia,Italia,"via Margheriti, 19, 25124 Brescia (BS), Italy",50,"16:00","10:00",false,true,false,2
